id;email;owner_group
1;Sylvan.Bayer85@yahoo.com;applications
2;Maximus_Jacobson@yahoo.com;India Bacon reboot
3;Joey.Grant@yahoo.com;motivating capacitor Jordan
4;Nickolas89@gmail.com;compressing Personal Loan Account infrastructure
5;Wanda_Windler@gmail.com;Michigan copying Games
6;Mabel11@gmail.com;Directives
7;Dalton68@gmail.com;Regional
8;Cordia.Buckridge2@gmail.com;Incredible overriding
9;Darryl48@hotmail.com;process improvement reinvent alarm
10;Maurine_Rice53@gmail.com;full-range Borders New Israeli Sheqel
